commit,configfile,builderrcode,patchcoverage,buildtime
00387bd21dac98f9e793294c895768d9e5441f82,defconfig,0,0.000000,1190.76
008ee9eb8a11bcabf12c91771dd4f470b082bd44,defconfig,0,0.000000,1203.44
009a3a52791f31c57d755a73f6bc66fbdd8bd76c,defconfig,0,0.000000,1294.63
00bfe02f479688a67a29019d1228f1470e26f014,defconfig,0,0.000000,1199.86
010ddb813f3554cbbf8bd13b731452236a2c8017,defconfig,0,0.000000,1239.12
024f15e033a52660a045947ee56c7e842180fa81,defconfig,0,1.000000,1302.62
0258cb19c77deb755747b97f690931193ced0c55,defconfig,0,0.000000,1212.84
03248addadf1a5ef0a03cbcd5ec905b49adb9658,defconfig,0,0.331395,1202.66
03508eea538557b4f61bf1df2e842d252cb9a6e6,defconfig,0,0.000000,1295.66
036d8903f03b662bbdce5e32525bd2931b14c420,defconfig,0,0.000000,1297.68
052d03a043afebb8e26ec17de52e8cdc8b217ef9,defconfig,0,0.000000,1210.97
07bf9431b1590d1cd7a8d62075d0b50b073f0495,defconfig,0,0.000000,1253.72
087451f372bf76d971184caa258807b7c35aac8f,defconfig,0,0.000000,1221.06
08d1ecd98a8fe653d24644f072a87549e8503447,defconfig,0,1.000000,1213.00
09095f74130dfb2110ef2bcdd9ad0d42addaa1d5,defconfig,0,0.400000,1297.07
09355d9d038a1590ee055831a4ad3a79952cfa8b,defconfig,0,1.000000,1222.65
0a0624a26f9ceb8aae16882d87dc3b12f17f4a49,defconfig,0,0.000000,1194.81
0a434e0a2c9f4395e4560aac22677ef25ab4afd9,defconfig,0,0.700000,1201.32
0a5c26712f963f0500161a23e0ffff8d29f742ab,defconfig,0,1.000000,1204.42
0a64f5f97ae957ebddc9bffb1101cdacf3ebf9ff,defconfig,0,0.000000,1291.61
0a8e9599b91db84b25e4f13e89ed9b5cc3c2d15f,defconfig,0,1.000000,1208.02
0ae8f4785107eb7f63ac17d86d894be681427dd2,defconfig,0,0.000000,1197.08
0b3f3143d473b489a7aa0779c43bcdb344bd3014,defconfig,0,0.000000,1295.74
0b452520477efbe4370cb747572c3c63c7cb3176,defconfig,0,0.000000,1196.43
0bfcc8b5c1ed9999a8717a3482faea2ebae17a3a,defconfig,0,0.000000,1211.64
0c0593b45c9b4e5b212ffb3fb28bb8d3c0ec0dc8,defconfig,0,0.000000,1206.24
0c7639cc838263b6e38b3af76755d574f15cdf41,defconfig,0,0.000000,1204.03
0c8b5d6268d92d141bfd64d21c870d295a84dee1,defconfig,0,0.000000,1356.43
0cc3bd80610cc04642c8dd5cd1d54bd975229d02,defconfig,0,0.000000,1212.07
0d199e4363b482badcedba764e2aceab53a4a10a,defconfig,0,0.000000,1196.73
