file,arch,label,build target (valid if label is build_dir)
arch/x86/boot/compressed/sev.c,x86_64,builds_dir,all
arch/x86/entry/vdso/vdso2c.c,x86_64,cant_build,
arch/x86/events/intel/core.c,x86_64,builds,
arch/x86/kernel/acpi/sleep.c,x86_64,builds,
arch/x86/kernel/apm_32.c,x86_64,cant_build,
arch/x86/kernel/asm-offsets_32.c,x86_64,cant_build,
arch/x86/kernel/asm-offsets.c,x86_64,cant_build,
arch/x86/kernel/cpu/cyrix.c,x86_64,cant_build,
arch/x86/kernel/doublefault_32.c,x86_64,cant_build,
arch/x86/kernel/sev-es-shared.c,x86_64,header,
arch/x86/kernel/sev-shared.c,x86_64,header,
arch/x86/kernel/tsc.c,x86_64,builds,
arch/x86/kvm/cpuid.c,x86_64,builds,
arch/x86/kvm/mmu/mmu_audit.c,x86_64,header,
arch/x86/kvm/mmu/spte.c,x86_64,builds_dir,arch/x86/kvm/
arch/x86/kvm/mmu/tdp_mmu.c,x86_64,builds_dir,arch/x86/kvm/
arch/x86/kvm/x86.c,x86_64,builds,
arch/x86/lib/insn-eval.c,x86_64,builds_dir,arch/x86/kvm/
arch/x86/lib/insn.c,x86_64,builds,
arch/x86/lib/mmx_32.c,x86_64,cant_build,
arch/x86/math-emu/fpu_trig.c,x86_64,cant_build,
arch/x86/math-emu/reg_ld_str.c,x86_64,cant_build,
arch/x86/mm/init_32.c,x86_64,cant_build,
arch/x86/net/bpf_jit_comp32.c,x86_64,cant_build,
arch/x86/platform/efi/efi_64.c,x86_64,builds,
arch/x86/platform/efi/quirks.c,x86_64,builds,
arch/x86/platform/intel-quark/imr_selftest.c,x86_64,cant_build,
arch/x86/platform/intel-quark/imr.c,x86_64,cant_build,
arch/x86/platform/olpc/olpc_dt.c,x86_64,cant_build,
arch/x86/platform/olpc/olpc-xo15-sci.c,x86_64,cant_build,
arch/x86/platform/uv/uv_nmi.c,x86_64,builds,
arch/x86/power/hibernate.c,x86_64,builds,
arch/x86/tools/insn_decoder_test.c,x86_64,cant_build,
arch/x86/tools/insn_sanity.c,x86_64,cant_build,
block/blk-mq.c,arm,builds,
block/bounce.c,x86_64,cant_build,
block/kyber-iosched.c,arm,builds,
crypto/aegis128-neon.c,x86_64,cant_build,
crypto/async_tx/async_xor.c,arm,builds,
drivers/accessibility/speakup/i18n.c,arm,builds,
drivers/acpi/ac.c,arm,cant_build,
drivers/acpi/acpi_apd.c,arm,cant_build,
drivers/acpi/acpi_ipmi.c,arm,cant_build,
drivers/acpi/acpi_lpss.c,arm,cant_build,
drivers/acpi/acpi_memhotplug.c,arm,cant_build,
drivers/acpi/acpi_pad.c,arm,cant_build,
drivers/acpi/acpi_processor.c,arm,cant_build,
drivers/acpi/acpi_video.c,arm,cant_build,
drivers/acpi/acpica/rscalc.c,x86_64,compiler_error,
drivers/acpi/acpica/rscalc.c,arm,cant_build,
drivers/acpi/acpica/rsdump.c,x86_64,compiler_error,
drivers/acpi/acpica/rsdump.c,arm,cant_build,
drivers/acpi/acpica/rsdumpinfo.c,x86_64,compiler_error,
drivers/acpi/acpica/rsdumpinfo.c,arm,cant_build,
drivers/acpi/acpica/rsinfo.c,x86_64,compiler_error,
drivers/acpi/acpica/rsinfo.c,arm,cant_build,
drivers/acpi/acpica/rslist.c,x86_64,compiler_error,
drivers/acpi/acpica/rslist.c,arm,cant_build,
drivers/acpi/acpica/rsmisc.c,x86_64,compiler_error,
drivers/acpi/acpica/rsmisc.c,arm,cant_build,
drivers/acpi/acpica/rsserial.c,x86_64,compiler_error,
drivers/acpi/acpica/rsserial.c,arm,cant_build,
drivers/acpi/acpica/utdelete.c,arm,cant_build,
drivers/acpi/acpica/utresdecode.c,x86_64,compiler_error,
drivers/acpi/acpica/utresdecode.c,arm,cant_build,
drivers/acpi/acpica/utresrc.c,x86_64,compiler_error,
drivers/acpi/acpica/utresrc.c,arm,cant_build,
drivers/acpi/apei/einj.c,arm,cant_build,
drivers/acpi/apei/erst.c,arm,cant_build,
drivers/acpi/apei/hest.c,arm,cant_build,
drivers/acpi/arm64/gtdt.c,x86_64,cant_build,
drivers/acpi/arm64/gtdt.c,arm,cant_build,
drivers/acpi/arm64/iort.c,x86_64,cant_build,
drivers/acpi/arm64/iort.c,arm,cant_build,
drivers/acpi/battery.c,arm,cant_build,
drivers/acpi/bus.c,arm,cant_build,
drivers/acpi/button.c,arm,cant_build,
drivers/acpi/cppc_acpi.c,arm,cant_build,
drivers/acpi/custom_method.c,arm,cant_build,
drivers/acpi/device_pm.c,arm,cant_build,
drivers/acpi/device_sysfs.c,arm,cant_build,
drivers/acpi/dock.c,arm,cant_build,
drivers/acpi/glue.c,arm,cant_build,
drivers/acpi/hed.c,arm,cant_build,
drivers/acpi/irq.c,x86_64,cant_build,
drivers/acpi/irq.c,arm,cant_build,
drivers/acpi/nfit/core.c,arm,cant_build,
drivers/acpi/numa/hmat.c,arm,cant_build,
drivers/acpi/pci_irq.c,arm,cant_build,
drivers/acpi/pci_link.c,arm,cant_build,
drivers/acpi/pci_mcfg.c,x86_64,cant_build,
drivers/acpi/pci_mcfg.c,arm,cant_build,
drivers/acpi/pmic/intel_pmic_chtcrc.c,arm,cant_build,
drivers/acpi/power.c,arm,cant_build,
drivers/acpi/processor_driver.c,arm,cant_build,
drivers/acpi/processor_idle.c,arm,cant_build,
drivers/acpi/processor_pdc.c,arm,cant_build,
drivers/acpi/processor_perflib.c,arm,cant_build,
drivers/acpi/processor_throttling.c,arm,cant_build,
drivers/acpi/resource.c,arm,cant_build,
drivers/acpi/scan.c,arm,cant_build,
drivers/acpi/sleep.c,arm,cant_build,
drivers/acpi/sysfs.c,arm,cant_build,
drivers/acpi/utils.c,arm,cant_build,
drivers/acpi/video_detect.c,arm,cant_build,
drivers/ata/ahci_brcm.c,x86_64,cant_build,
drivers/ata/ahci_tegra.c,x86_64,cant_build,
drivers/ata/libata-acpi.c,arm,cant_build,
drivers/ata/libata-eh.c,arm,builds,
drivers/ata/pata_acpi.c,arm,cant_build,
drivers/ata/pata_ixp4xx_cf.c,x86_64,cant_build,
drivers/atm/firestream.c,arm,cant_build,
drivers/auxdisplay/panel.c,arm,builds,
drivers/base/arch_topology.c,x86_64,cant_build,
drivers/base/memory.c,arm,cant_build,
drivers/base/node.c,arm,cant_build,
